[dotenv@17.3.1] injecting env (3) from .env.development.local -- tip: ΓÜÖ∩╕Å  suppress all logs with { quiet: true }
Starting fetch for pages 1-50...
Page 31 returned 0 items.
Page 16 returned 0 items.
Page 24 returned 0 items.
Page 34 returned 0 items.
Page 29 returned 0 items.
Page 26 returned 0 items.
Page 28 returned 0 items.
Page 25 returned 0 items.
Page 10 returned 0 items.
Page 46 returned 0 items.
Page 42 returned 0 items.
Page 47 returned 0 items.
Page 38 returned 0 items.
Page 33 returned 0 items.
Page 43 returned 0 items.
Page 44 returned 0 items.
Page 45 returned 0 items.
Page 35 returned 0 items.
Page 36 returned 0 items.
Page 14 returned 0 items.
Page 13 returned 0 items.
Page 50 returned 0 items.
Page 18 returned 0 items.
Page 41 returned 0 items.
Page 20 returned 0 items.
Page 19 returned 0 items.
Page 9 returned 0 items.
Page 40 returned 0 items.
Page 39 returned 0 items.
Page 23 returned 0 items.
Page 21 returned 0 items.
Page 8 returned 0 items.
Page 22 returned 0 items.
Page 30 returned 0 items.
Page 15 returned 0 items.
Page 32 returned 0 items.
Page 48 returned 0 items.
Page 49 returned 0 items.
Page 37 returned 0 items.
Page 27 returned 0 items.
Page 17 returned 0 items.
Page 12 returned 0 items.
Page 1 returned 65 items.
Page 6 returned 70 items.
Page 7 returned 40 items.
Page 2 returned 70 items.
Page 4 returned 48 items.
Page 5 returned 70 items.
Page 11 returned 0 items.
Page 3 returned 70 items.

========= RESULTS =========
Total valid items retrieved: 433
Total failed pages: 0
